Timestamp,Channel1
4.78629994392395,7342
5.31936502456665,7342
7.266169309616089,7342
8.549005031585693,7342
10.556026697158813,7349
11.871795654296875,7349
13.738426208496094,7342
16.45127558708191,7342
16.841444492340088,7342
18.376681566238403,7351
20.165311574935913,7342
21.765418529510498,7352
24.208667993545532,7342
25.024901151657104,7342
26.718266487121582,7349
28.34884023666382,7342
30.19868779182434,7353
31.498929977416992,7349
33.16110110282898,7342
34.86239433288574,7344
36.42581748962402,7342
38.22498893737793,7345
40.373592376708984,7342
41.97219204902649,7342
43.1484694480896,7342
44.59026885032654,7342
46.660001277923584,7342
48.2740261554718,7342
50.076796770095825,7342
51.33120560646057,7342
52.8536102771759,7348
54.41982626914978,7349
56.11234092712402,7342
57.93121862411499,7342
59.373276472091675,7342
